AgArea,Station_ID,Station_Description,DECIMAL_LAT,DECIMAL_LONG,pH_benuse,pH_low,pH_high,DO_use,DO_criteria,ZDADM,Temp_Benuse,spwn_time,Comments
Tualatin River Subbasin,USGS-14206440,SEE NEW STATION NUMBER 14206295,45.49012,-122.9515,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14206938,"SUMMER CREEK AT SW 121 AVE NEAR TIGARD, OR",45.43484,-122.7998,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14206960,"TUALATIN RIVER AT BOONES FERRY RD AT TUALATIN, OR",45.38595,-122.7573,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,10456,Tualatin River at Boones Ferry Road,45.38614,-122.7563,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14202300,"TUALATIN RIVER AT CHERRY GROVE, OR.",45.46733,-123.2918,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Tualatin River Subbasin,USGS-14206740,"TUALATIN RIVER AT ELSNER RD NEAR SHERWOOD, OR",45.38817,-122.8518,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14206500,"TUALATIN RIVER AT FARMINGTON,OREG.",45.44984,-122.9512,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14204800,"TUALATIN RIVER AT GOLF COURSE RD NR CORNELIUS, OR",45.50206,-123.0562,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,10459,Tualatin River at Hwy 210 (Scholls),45.44442,-122.9198,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14206690,"TUALATIN RIVER AT HWY 210 BRIDGE, NR SCHOLLS, OR",45.4179,-122.9209,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14206241,"TUALATIN RIVER AT HWY 219 NEAR HILLSBORO, OR",45.50012,-122.9912,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14207200,"TUALATIN RIVER AT OSWEGO DAM, NEAR WEST LINN, OR",45.35651,-122.6851,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14206694,"TUALATIN RIVER AT RIVER MILE 24.5, NR SCHOLLS, OR",45.40151,-122.8951,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,10461,Tualatin River at Rood Road,45.49006,-122.9506,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14207050,"TUALATIN RIVER AT STAFFORD RD NR LAKE OSWEGO, OR",45.37956,-122.6979,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14207600,"TUALATIN RIVER AT WEISS BRIDGE AT WEST LINN, OR",45.33956,-122.6545,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14203500,"TUALATIN RIVER NEAR DILLEY, OR",45.47484,-123.1243,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,10458,Tualatin River near Elsner Road,45.40939,-122.8937,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Crooked River,10517,Crooked River at Lone Pine Road (Terrebonne),44.34865,-121.0816,All other basin waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,January 1-May 15,
Crooked River,11477,Crooked River at Conant Basin Road,44.1724,-120.5422,All other basin waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,January 1-May 15,
Middle John Day,11478,John Day River at Service Creek,44.7922,-120.0037,All other basin waters,6.5,9,Cool-Water Aquatic Life,6.5,20,Salmon and Steelhead Migration Corridors,No spawning,
Middle John Day,USGS-14046778,"BRIDGE CR ABV COYOTE CANYON NR MITCHELL, OR",44.7268,-120.302,All other basin waters,6.5,9,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,January 1-May 14,
Middle John Day,USGS-14046890,"PINE CREEK NEAR CLARNO, OR",44.91041,-120.4409,All other basin waters,6.5,9,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,January 1-May 15,
North Coast,10521,Necanicum R at Forest Lake RV Camp (Seaside),45.95191901,-123.9250156,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
North Coast,10523,Nestucca R at Cloverdale,45.20700786,-123.8898902,Marine waters,7,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 15-June 15,
North Coast,10812,Skipanon River at Hwy 101,46.1385377,-123.9242428,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
North Coast,10817,Lewis & Clark River at Logan Road,46.07706389,-123.8448108,Marine waters,7,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
North Coast,11434,Clatskanie River at Hwy 30 (Clatskanie),46.10202678,-123.1994557,Marine waters,7,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
North Coast,11856,Nehalem River at Foley Road (Roy Creek Campground),45.69975923,-123.8441202,Estuarine and Freshwater,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
North Coast,11904,Klaskanine River at Youngs River Loop Road (Olney),46.09154027,-123.7522621,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
North Coast,12187,Youngs River at Youngs River Loop Road,46.06976248,-123.7856582,Marine waters,7,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
North Coast,13411,Miami River at Moss Creek Road,45.57482872,-123.8738959,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
North Coast,13417,Kilchis River at Alderbrook Road,45.49625623,-123.8443953,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
North Coast,13421,Wilson River at Hwy 101,45.4782454,-123.8443842,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
North Coast,13424,Wilson R at HWY 6 at LLID RM 10.2,45.47183242,-123.7367122,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 15-June 15,
North Coast,13428,Dougherty Slough at Hwy 101,45.46528,-123.8439,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
North Coast,13429,Dougherty Slough at Wilson River Loop Road (Tillamook),45.47048,-123.8098,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
North Coast,13430,Hoquarten Slough at Hwy 101 (Tillamook),45.45913,-123.8444,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
North Coast,13431,Trask River at Netarts Road (Hwy. 6),45.45620156,-123.859714,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
North Coast,13433,Trask River at Hwy 101,45.42943143,-123.8238939,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 1-June 15,
North Coast,13440,Tillamook River at Bewley Creek Road,45.40798957,-123.8246588,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
North Coast,21811,Ben Smith Creek at River Mile 0.44,45.585806,-123.51585,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,October 15-June 15,
North Coast,29383,Oceanside Beach State Wayside at headland,45.46206,-123.97249,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
North Coast,29384,Oceanside Beach State Wayside at seep (250 meters south),45.45868,-123.96938,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
North Coast,29387,Rockaway Beach at North 6th Avenue,45.61883,-123.94541,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
North Coast,29388,Short Sand Beach at Short Sand CR (Oswald State Park),45.75942,-123.96531,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
North Coast,29389,Short Sand Beach 1st creek north of Short Sand Cr. (Oswald State Park),45.76144,-123.96717,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
North Coast,30510,Twin Rocks Beach at Watseco Creek,45.59336,-123.95041,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
North Coast,30513,Neskowin Beach,45.10146,-123.9863,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
North Coast,30890,Watseco/Heltmiller CR at Twin Rocks Beach at W of Pacific ST,45.59435,-123.9493,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
North Coast,31525,Short Sand Creek at footbridge,45.7601,-123.9629,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
North Coast,31536,Ecola Cr at Logan Creek,45.90245,-123.86093,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
North Coast,34019,Nehalem River at Hwy 202 Bridge in Birkenfeld river mile 64.9,45.98879876,-123.3387322,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 1-May 15,
North Coast,34608,Ecola Court pipe discharge to Cannon Beach ,45.88933,-123.96376,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
North Coast,34636,Kilchis R SF at RM 1.55,45.60330054,-123.7276904,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,October 15-June 15,
North Coast,34724,Rock Cr. at Rockaway Beach (South 1st Ave. parking area),45.6139,-123.9445,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
North Coast,34725,Saltair Cr. at Rockaway Beach (South 6th Ave.access),45.6052,-123.9462,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Molalla-Pudding French Prairie North Santiam,10555,Willamette River at Marion Street (Salem),44.94386,-123.0453,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Molalla-Pudding French Prairie North Santiam,10637,Molalla River at Knights Bridge Road (Canby),45.2675,-122.7103,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Molalla-Pudding French Prairie North Santiam,10640,Pudding River at Hwy 211 (Woodburn),45.1505,-122.7929,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Molalla-Pudding French Prairie North Santiam,10775,Santiam River at Jefferson Bridge,44.71539,-123.0129,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Molalla-Pudding French Prairie North Santiam,10792,North Santiam River at Greens Bridge,44.70832,-122.9725,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 1-June 15,
Molalla-Pudding French Prairie North Santiam,10899,Zollner Creek at Monitor-McKee Road Bridge,45.1004,-122.8225,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Molalla-Pudding French Prairie North Santiam,10917,Pudding River at Hwy 99E (Aurora),45.23366,-122.7502,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Molalla-Pudding French Prairie North Santiam,12553,North Santiam River at Gates School Road Bridge,44.75241,-122.4113,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 1-June 15,
Molalla-Pudding French Prairie North Santiam,12559,North Santiam River at Coopers Ridge Road Bridge 2234,44.69276,-122.0503,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Molalla-Pudding French Prairie North Santiam,31875,Little Pudding River at Rambler Road,45.0458,-122.8956,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Molalla-Pudding French Prairie North Santiam,USGS-14181500,"NORTH SANTIAM RIVER AT NIAGARA, OR",44.75378,-122.2974,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 1-June 15,
Molalla-Pudding French Prairie North Santiam,USGS-14182500,"LITTLE NORTH SANTIAM RIVER NEAR MEHAMA, OR",44.79151,-122.579,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 1-June 15,
Molalla-Pudding French Prairie North Santiam,USGS-14201300,"ZOLLNER CREEK NEAR MT ANGEL, OR",45.1004,-122.8218,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Molalla-Pudding French Prairie North Santiam,USGS-14178000,"NO SANTIAM R BLW BOULDER CRK, NR DETROIT, OR",44.70679,-122.1012,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Molalla-Pudding French Prairie North Santiam,USGS-14179000,"BREITENBUSH R ABV FRENCH CR NR DETROIT, OR.",44.75262,-122.129,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Molalla-Pudding French Prairie North Santiam,USGS-14180300,"BLOWOUT CREEK NEAR DETROIT, OR",44.6529,-122.1309,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Molalla-Pudding French Prairie North Santiam,USGS-14183000,"NORTH SANTIAM RIVER AT MEHAMA, OR",44.78901,-122.6187,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 1-June 15,
Molalla-Pudding French Prairie North Santiam,USGS-14184100,"NORTH SANTIAM R AT GREENS BRIDGE, NR JEFFERSON, OR",44.7079,-122.9729,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 1-June 15,
Molalla-Pudding French Prairie North Santiam,USGS-14189050,"SANTIAM RIVER NEAR JEFFERSON, OR",44.73873,-123.0498,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Molalla-Pudding French Prairie North Santiam,USGS-444728122450000,"NORTH SANTIAM RIVER AT GEREN ISLAND, NR STAYTON,OR",44.79096,-122.7512,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 1-June 15,
Curry County,10414,Rogue River at Lobster Creek Bridge,42.50349581,-124.2932249,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Curry County,10533,Sixes River at Hwy 101 bridge,42.81689039,-124.4822563,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Curry County,10537,Winchuck River 1.3 miles upstream of Hwy 101,42.00832032,-124.1886369,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Curry County,11483,Chetco River at USGS Gage (10 miles upstream of Brookings),42.1242675,-124.1870937,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Curry County,11493,Pistol River at Pistol River Loop Road,42.27189367,-124.3970708,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Curry County,11905,Elk River at Hwy 101,42.79401881,-124.4889754,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Curry County,12590,Floras Creek at Hwy 101 south of Langlois,42.91603557,-124.4520811,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Curry County,21ORBCH-29310,Mill Beach at south side of Seastack,42.04836,-124.29122,Marine waters,7,8.5,Ocean Waters,NA,NA,Oceans and Bays ,No Spawning ,
Curry County,21ORBCH-29312,Harris Beach State Park at Harris Creek,42.06924,-124.31706,Marine waters,7,8.5,Ocean Waters,NA,NA,Oceans and Bays ,No Spawning ,
Curry County,21ORBCH-29313,Harris Beach State Park West of parking lot,42.06768,-124.31494,Marine waters,7,8.5,Ocean Waters,NA,NA,Oceans and Bays ,No Spawning ,
Curry County,21ORBCH-30471,Hubbard Creek Beach at Hubbard Creek,42.73494,-124.47718,Marine waters,7,8.5,Ocean Waters,NA,NA,Oceans and Bays ,No Spawning ,
Curry County,21ORBCH-30749,Hubbard Creek Beach 50m North of Hubbard Creek,42.7355,-124.4784,Marine waters,7,8.5,Ocean Waters,NA,NA,Oceans and Bays ,No Spawning ,
Curry County,21ORBCH-30751,Hubbard Creek Beach South of Hubbard Creek,42.73494,-124.47718,Marine waters,7,8.5,Ocean Waters,NA,NA,Oceans and Bays ,No Spawning ,
Curry County,21ORBCH-30935,Macklyn Creek upstream,42.04921,-124.29225,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning ,
Curry County,21ORBCH-31555,Harris Beach State Park East of Goat Island,42.06709,-124.31467,Marine waters,7,8.5,Ocean Waters,NA,NA,Oceans and Bays ,No spawning ,
Curry County,21ORBCH-31559,Harris Creek upstream,42.06891,-124.31554,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,January 1-May 15,
Curry County,21ORBCH-31687,Mill Beach at Macklyn Creek,42.048701,-124.282106,Marine waters,7,8.5,Ocean Waters,NA,NA,Oceans and Bays ,No spawning ,
Curry County,29310,"Mill Beach at south side of seastack, Brookings",42.04863,-124.29122,Marine waters,7,8.5,Ocean Waters,NA,NA,Oceans and Bays ,No spawning ,
Curry County,29312,"Harris Beach State Park day use area, north cove at Harris Creek",42.06924,-124.31494,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,January 1-May 15,
Curry County,29313,"Harris Beach State Park day use, south cove west of parking lot",42.06768,-124.31494,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,January 1-May 15,
Curry County,30471,Hubbard Cr Beach at Hubbard Cr,42.73494,-124.47718,Marine waters,7,8.5,Ocean Waters,NA,NA,Oceans and Bays ,No spawning ,
Curry County,30749,Hubbard Beach 50m N of Hubbard Cr,42.7355,-124.4784,Marine waters,7,8.5,Ocean Waters,NA,NA,Oceans and Bays ,No spawning ,
Curry County,30750,Hubbard Cr between Hwy 101 and Beach,42.7352,-124.4777,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Curry County,30751,Hubbard Cr Beach 50m S of Hubbard Cr,42.73494,-124.47718,Marine waters,7,8.5,Ocean Waters,NA,NA,Oceans and Bays ,No spawning ,
Curry County,30751,Hubbard Cr Beach S of Hubbard Cr,42.73494,-124.47718,Marine waters,7,8.5,Ocean Waters,NA,NA,Oceans and Bays ,No spawning ,
Curry County,30935,Macklyn Creek 50m upstream from mouth,42.04921,-124.29225,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning ,
Curry County,31555,Harris Beach SP mid point of south parking lot,42.06709,-124.31467,Marine waters,7,8.5,Ocean Waters,NA,NA,Oceans and Bays ,No spawning ,
Curry County,31559,Harris Cr 100m upstream from mouth,42.06891,-124.31554,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,January 1-May 15,
Curry County,31687,Mill Beach at Macklyn Cr,42.0493,-124.2926,Marine waters,7,8.5,Ocean Waters,NA,NA,Oceans and Bays ,No spawning ,
Curry County,35794,ELK R NF AT RM 0.4,42.7228506,-124.2026929,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Curry County,USGS-14372300,"ROGUE RIVER NEAR AGNESS, OR",42.5784422,-124.0581443,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning ,
Umpqua River,10437,Umpqua River at Elkton Bridge,43.63196317,-123.5671511,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Umpqua River,10441,Elk Creek at Elkton,43.63527361,-123.564506,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Umpqua River,10442,South Umpqua at Melrose Road,43.24178425,-123.4121303,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Umpqua River,10443,South Umpqua at Hwy 42 (Winston),43.13391838,-123.3992438,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Umpqua River,10451,North Umpqua at Garden Valley Road (Roseburg),43.27157828,-123.4107336,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 1-May 15,
Umpqua River,10996,Calapooya Creek at Umpqua,43.36663162,-123.460813,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Umpqua River,10997,Cow Creek at mouth,42.94294701,-123.3368795,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Umpqua River,11484,South Umpqua at Days Creek Cutoff Road (Canyonville),42.97121856,-123.2138782,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Umpqua River,11491,Smith River 4.4 miles downstream of Smith River Falls,43.78829362,-123.8643234,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Umpqua River,11522,South Umpqua at Stewart Park Road (Roseburg),43.21745899,-123.3665207,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Umpqua River,23837,Wolf Creek at River Mile 3.5 (Umpqua),43.45645,-123.60948,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Umpqua River,35722,FISH LAKE CR AT RM 1.8,43.0886944,-122.5541846,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,January 1-June 15,
Umpqua River,USGS-14309000,"COW CREEK NEAR AZALEA, OR",42.82484286,-123.1789492,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,October 15-June 15,
Umpqua River,USGS-14316460,"NORTH UMPQUA R AT SODA SPGS, NR TOKETEE FALLS, OR",43.3059544,-122.5128232,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 1-June 15,
Umpqua River,USGS-14316495,"BOULDER CREEK NEAR TOKETEE FALLS, OR",43.3034543,-122.5303237,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,January 1-June 15,
Umpqua River,USGS-14316500,"N UMPQUA RIVER ABV COPELAND CK NR TOKETEE FALLS,OR",43.2959543,-122.5367127,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 1-June 15,
Umpqua River,USGS-14317450,"NORTH UMPQUA RIVER NEAR IDLEYLD PARK, OR",43.324563,-122.9997836,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 1-June 15,
Umpqua River,USGS-14318000,"LITTLE RIVER AT PEEL, OR",43.2526179,-123.0261716,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 1-June 15,
Umpqua River,USGS-14319500,"NORTH UMPQUA RIVER AT WINCHESTER, OR",43.27205997,-123.4122993,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 1-May 15,
Umpqua River,USGS-14320934,"LITTLE WOLF CREEK NEAR TYEE, OR",43.43122665,-123.5867573,Estuarine and fresh waters,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
