AgArea,Station_ID,Station_Description,DECIMAL_LAT,DECIMAL_LONG,pH_benuse,pH_low,pH_high,DO_use,DO_criteria,ZDADM,Temp_Benuse,spwn_time,Comments
Yamhill,USGS-14192015,"WILLAMETTE RIVER AT KEIZER, OR",44.97373,-123.0373,,,,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Yamhill,USGS-14197900,"WILLAMETTE RIVER AT NEWBERG, OR",45.28456,-122.9615,,,,Cool-Water Aquatic Life,6.5,20,Salmon and Steelhead Migration Corridors,No spawning,
Goose and Summer Lakes,10741,Honey Creek at Plush,42.40714,-119.9011,Goose & Summer Lakes - All other basin waters,7,9,Cool-Water Aquatic Life,6.5,20,Redband and Lanhontan Cutthroat Trout,No spawning,
Goose and Summer Lakes,12266,Twentymile Creek at Hwy 140,42.17611,-119.8419,Goose & Summer Lakes - All other basin waters,7,9,Cool-Water Aquatic Life,6.5,20,Redband and Lanhontan Cutthroat Trout,No spawning,
Goose and Summer Lakes,12267,Deep Creek west of Adel,42.17444,-119.9267,Goose & Summer Lakes - All other basin waters,7,9,Cool-Water Aquatic Life,6.5,20,Redband and Lanhontan Cutthroat Trout,No spawning,
Goose and Summer Lakes,33930,"Chewaucan River, 2.4 miles upstream of Paisley",42.67792,-120.5838,Goose & Summer Lakes - All other basin waters,7,9,Cool-Water Aquatic Life,6.5,20,Redband and Lanhontan Cutthroat Trout,No spawning,
Goose and Summer Lakes,36778,Thomas Creek at Stock Drive Road,42.17866,-120.3843,Goose & Summer Lakes - All other basin waters,7,9,,,,,,
Walla Walla,36786,Pine Creek at Hudson Bay Substation Road,45.98682,-118.568,All other basin waters,6.5,9.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Greater Harney Basin,33929, Silvies River at West Loop Road,43.63407,-119.0771,All other basin waters,7,9,Cool-Water Aquatic Life,6.5,20,Redband and Lanhontan Cutthroat Trout,No spawning,
Greater Harney Basin,12264,Whitehorse Creek at Whitehorse Ranch Road,42.33761,-118.2341,All other basin waters,7,9,Cool-Water Aquatic Life,6.5,20,Cool Water Species,No spawning,
Tualatin River Subbasin,USGS-14206933,"ASH CREEK AT METZGER PARK AT METZGER, OR",45.44984,-122.7637,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Tualatin River Subbasin,USGS-453339122481301,BANNISTER CREEK AT 124TH,45.56089,-122.8037,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-453004122510301,"BEAVERTON CREEK AT 170TH AVE, BEAVERTON, OR",45.50095,-122.852,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,10480,Beaverton Creek at Cornelius Pass Road,45.52086,-122.8988,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-453115122542701,BEAVERTON CREEK AT GUSTAN COURT,45.5207,-122.9075,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-14206435,"BEAVERTON CREEK AT SW 216TH AVE, NR ORENCO, OR",45.52067,-122.8995,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-453115122530801,BRONSON CR AT 205TH NEAR BASELINE RD,45.52075,-122.8856,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Tualatin River Subbasin,USGS-453214122512501,BRONSON CR AT BRONSON PARK BELOW SUNSET HWY,45.53711,-122.8569,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
